route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number,route_short_name,slug
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0740_0,Katraj To Bhakti Shakti,,0,,4810,,,42/10,1,1,42 - Katraj To Bhakti Shakti,42-katraj-to-bhakti-shakti
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2010_0,Bhakti Shakti To Katraj,,0,,4811,,,42/5,8,4,42 - Bhakti Shakti To Katraj,42-bhakti-shakti-to-katraj
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1750_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/1,10,4,366 - Pune Station To Bhakti Shakti (Via Yerwada),366-pune-station-to-bhakti-shakti-via-yerwada
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1440_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/3,7,1,366 - Bhakti Shakti To Pune Station (Via Yerwada),366-bhakti-shakti-to-pune-station-via-yerwada
367,1,NORMAL_367_Gavhanevasti Bhosari To Nigdi_Down-0915_0,Gavhanevasti Bhosari To Nigdi,,0,,3922,,,367/4,6,6,367 - Gavhanevasti Bhosari To Nigdi,367-gavhanevasti-bhosari-to-nigdi
315,1,NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-1020_0,Pune station To Bhosari via vishrantwadi,,0,,4069,,,315/13,6,6,315 - Pune station To Bhosari via vishrantwadi,315-pune-station-to-bhosari-via-vishrantwadi
60,1,NORMAL_60_Ghulenagar To Mandai Stand_Down-1000_0,Ghulenagar To Mandai Stand,,1,,4195,,,60/1,6,6,60 - Ghulenagar To Mandai Stand,60-ghulenagar-to-mandai-stand
186,1,NORMAL_186_Jspm College To Pune Station_Up-1840_0,Jspm College To Pune Station,,0,,3889,,,186/1,10,4,186 - Jspm College To Pune Station,186-jspm-college-to-pune-station
55,1,NORMAL_55_Mandai To Suncity_Down-1950_0,Mandai To Suncity,,0,,4204,,,55/2,17,7,55 - Mandai To Suncity,55-mandai-to-suncity
87,1,NORMAL_87_Deccan Gymkhana To Susgaon Thaksen Nagar_Up-1025_0,Deccan Gymkhana To Susgaon Thaksen Nagar,,1,,4656,,,87/8,4,4,87 - Deccan Gymkhana To Susgaon Thaksen Nagar,87-deccan-gymkhana-to-susgaon-thaksen-nagar
55,1,NORMAL_55_Suncity To Mandai_Up-0700_0,Suncity To Mandai,,0,,4206,,,55/2,2,2,55 - Suncity To Mandai,55-suncity-to-mandai
114,1,NORMAL_114_Mhalungegaon To Ma Na Pa_Down-0530_0,Mhalungegaon To Ma Na Pa,,0,,3499,,,114/3,1,1,114 - Mhalungegaon To Ma Na Pa,114-mhalungegaon-to-ma-na-pa
367,1,NORMAL_367_Nigdi To Gavhanevasti Bhosari_Up-1130_0,Nigdi To Gavhanevasti Bhosari,,0,,3921,,,367/8,6,6,367 - Nigdi To Gavhanevasti Bhosari,367-nigdi-to-gavhanevasti-bhosari
87,1,NORMAL_87_Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar)_Down-0720_0,Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar),,1,,3450,,,87/4,1,1,87 - Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar),87-sutarwadi-pashan-to-deccan-gymkhana-vai-bhagvatinagar
114,1,NORMAL_114_Ma Na Pa To Mhalungegaon_Up-1520_0,Ma Na Pa To Mhalungegaon,,0,,3500,,,114/3,12,2,114 - Ma Na Pa To Mhalungegaon,114-ma-na-pa-to-mhalungegaon
87,1,NORMAL_87_Susgaon Thaksen Nagar To Deccan Gymkhana_Down-0830_0,Susgaon Thaksen Nagar To Deccan Gymkhana,,1,,4658,,,87/7,3,3,87 - Susgaon Thaksen Nagar To Deccan Gymkhana,87-susgaon-thaksen-nagar-to-deccan-gymkhana
87F,1,NORMAL_87F_Deccan Gymkhana To Mhalunge Phata Balewadi_Up-1430_0,Deccan Gymkhana To Mhalunge Phata Balewadi,,1,,4697,,,87/7,8,8,87F - Deccan Gymkhana To Mhalunge Phata Balewadi,87f-deccan-gymkhana-to-mhalunge-phata-balewadi
87C,1,NORMAL_87C_HMR Company To Deccan Gymkhana_Down-1710_0,HMR Company To Deccan Gymkhana,,0,,3006,,,87/3,11,3,87C - HMR Company To Deccan Gymkhana,87c-hmr-company-to-deccan-gymkhana
315,1,NORMAL_315_Deccan College To Dighi_Up-1345_0,Deccan College To Dighi,,1,,4844,,,315/13,9,9,315 - Deccan College To Dighi,315-deccan-college-to-dighi
87D,1,NORMAL_87D_Deccan Gymkhana To Sutarwadi Pashan (Vai Sai Chowk)_Up-1135_0,Deccan Gymkhana To Sutarwadi Pashan (Vai Sai Chowk),,1,,3139,,,87/3,6,6,87D - Deccan Gymkhana To Sutarwadi Pashan (Vai Sai Chowk),87d-deccan-gymkhana-to-sutarwadi-pashan-vai-sai-chowk
87,1,NORMAL_87_Deccan Gymkhana To Sutarwadi Pashan (Vai Bhagvatinagar)_Up-2235_0,Deccan Gymkhana To Sutarwadi Pashan (Vai Bhagvatinagar),,1,,3451,,,87/2,16,8,87 - Deccan Gymkhana To Sutarwadi Pashan (Vai Bhagvatinagar),87-deccan-gymkhana-to-sutarwadi-pashan-vai-bhagvatinagar
315,1,NORMAL_315_Pune Station Depot To Deccan College_Up-1315_0,Pune Station Depot To Deccan College,,1,,4846,,,315/13,8,8,315 - Pune Station Depot To Deccan College,315-pune-station-depot-to-deccan-college
87,1,NORMAL_87_Girme Park To Deccan Gymkhana_Down-0710_0,Girme Park To Deccan Gymkhana,,1,,5241,,,87/6,2,2,87 - Girme Park To Deccan Gymkhana,87-girme-park-to-deccan-gymkhana
186,1,NORMAL_186_Pune Station To Jspm College_Down-1740_0,Pune Station To Jspm College,,0,,3890,,,186/1,9,3,186 - Pune Station To Jspm College,186-pune-station-to-jspm-college
315,1,NORMAL_315_Bhosari PMT Chowk To Dighi_Down-0630_0,Bhosari PMT Chowk To Dighi,,1,,4849,,,315/13,1,1,315 - Bhosari PMT Chowk To Dighi,315-bhosari-pmt-chowk-to-dighi
217,1,NORMAL_217_Mandai Stand To Gujarwadi_Down-0810_0,Mandai Stand To Gujarwadi,,1,,4311,,,217/2,3,3,217 - Mandai Stand To Gujarwadi,217-mandai-stand-to-gujarwadi
87D,1,NORMAL_87D_Sutarwadi Pashan To Deccan Gymkhana (Vai Sai Chowk)_Down-1140_0,Sutarwadi Pashan To Deccan Gymkhana (Vai Sai Chowk),,1,,3268,,,87/1,7,7,87D - Sutarwadi Pashan To Deccan Gymkhana (Vai Sai Chowk),87d-sutarwadi-pashan-to-deccan-gymkhana-vai-sai-chowk
43,1,NORMAL_43_Bhakti Shakti To Katraj_Down-0730_0,Bhakti Shakti To Katraj,,0,,4900,,,43/1,2,2,43 - Bhakti Shakti To Katraj,43-bhakti-shakti-to-katraj
43,1,NORMAL_43_Katraj To Bhakti Shakti_Up-0905_0,Katraj To Bhakti Shakti,,0,,4899,,,43/1,3,3,43 - Katraj To Bhakti Shakti,43-katraj-to-bhakti-shakti
60,1,NORMAL_60_Mandai Stand To Ghulenagar_Up-0535_0,Mandai Stand To Ghulenagar,,1,,4194,,,60/1,1,1,60 - Mandai Stand To Ghulenagar,60-mandai-stand-to-ghulenagar
367C,1,NORMAL_367C_Akurdi Railway Station To Bhosari_Down-1720_0,Akurdi Railway Station To Bhosari,,0,,4460,,,367/5,13,3,367C - Akurdi Railway Station To Bhosari,367c-akurdi-railway-station-to-bhosari
315,1,NORMAL_315_Bhosari To Pune station via vishrantwadi_Down-1140_0,Bhosari To Pune station via vishrantwadi,,0,,4070,,,315/13,7,7,315 - Bhosari To Pune station via vishrantwadi,315-bhosari-to-pune-station-via-vishrantwadi
87F,1,NORMAL_87F_Mhalunge Phata Balewadi To Deccan Gymkhana_Down-1445_0,Mhalunge Phata Balewadi To Deccan Gymkhana,,1,,4698,,,87/5,9,1,87F - Mhalunge Phata Balewadi To Deccan Gymkhana,87f-mhalunge-phata-balewadi-to-deccan-gymkhana
315,1,NORMAL_315_Dighi To Bhosari PMT Chowk_Up-1415_0,Dighi To Bhosari PMT Chowk,,1,,4848,,,315/13,10,10,315 - Dighi To Bhosari PMT Chowk,315-dighi-to-bhosari-pmt-chowk
87,1,NORMAL_87_Deccan Gymkhana To Girmepark_Up-0615_0,Deccan Gymkhana To Girmepark,,1,,5240,,,87/6,1,1,87 - Deccan Gymkhana To Girmepark,87-deccan-gymkhana-to-girmepark
217,1,NORMAL_217_Gujarwadi To Mandai Stand_Up-1535_0,Gujarwadi To Mandai Stand,,1,,4310,,,217/2,10,2,217 - Gujarwadi To Mandai Stand,217-gujarwadi-to-mandai-stand
367,1,NORMAL_367_Akurdi Rly Station To Indrayaninagar_Up-0720_0,Akurdi Rly Station To Indrayaninagar,,0,,3914,,,367/5,3,3,367 - Akurdi Rly Station To Indrayaninagar,367-akurdi-rly-station-to-indrayaninagar
367,1,NORMAL_367_Indrayaninagar To Akurdi Rly Station_Down-0635_0,Indrayaninagar To Akurdi Rly Station,,0,,3915,,,367/5,2,2,367 - Indrayaninagar To Akurdi Rly Station,367-indrayaninagar-to-akurdi-rly-station
118,1,NORMAL_118_Swargate To Suncity_Up-0540_0,Swargate To Suncity,,0,,3395,,,55/1,1,1,118 - Swargate To Suncity,118-swargate-to-suncity
315,1,NORMAL_315_Deccan College To Pune Station Depot_Down-0730_0,Deccan College To Pune Station Depot,,1,,4847,,,315/13,3,3,315 - Deccan College To Pune Station Depot,315-deccan-college-to-pune-station-depot
367,1,NORMAL_367_Bhosari To Chikhale (Gharkul)_Up-0720_0,Bhosari To Chikhale (Gharkul),,0,,4463,,,367/8,1,1,367 - Bhosari To Chikhale (Gharkul),367-bhosari-to-chikhale-gharkul
19,1,NORMAL_19_Kondhwa Hospital To Shivajinagar_Up-1740_0,Kondhwa Hospital To Shivajinagar,,0,,3407,,,19-Jan,11,4,19 - Kondhwa Hospital To Shivajinagar,19-kondhwa-hospital-to-shivajinagar
19,1,NORMAL_19_Shivajinagar To Kondhwa Hospital_Down-1900_0,Shivajinagar To Kondhwa Hospital,,0,,3409,,,19-Jan,12,5,19 - Shivajinagar To Kondhwa Hospital,19-shivajinagar-to-kondhwa-hospital
19A,1,NORMAL_19A_Shivajinagar To Marketyard_Down-2200_0,Shivajinagar To Marketyard,,1,,3424,,,19-Jan,14,7,19A - Shivajinagar To Marketyard,19a-shivajinagar-to-marketyard
19A,1,NORMAL_19A_Marketyard To Shivajinagar_Up-0545_0,Marketyard To Shivajinagar,,1,,3393,,,19-Feb,1,1,19A - Marketyard To Shivajinagar,19a-marketyard-to-shivajinagar
167,1,NORMAL_167_Hadapsar Gadital To Kesnand Phata_Up-0545_0,Hadapsar Gadital To Kesnand Phata,,0,,4626,,,167/1,1,1,167 - Hadapsar Gadital To Kesnand Phata,167-hadapsar-gadital-to-kesnand-phata
167,1,NORMAL_167_Kesnand Phata To Hadapsar Gadital_Down-0630_0,Kesnand Phata To Hadapsar Gadital,,0,,4627,,,167/1,2,2,167 - Kesnand Phata To Hadapsar Gadital,167-kesnand-phata-to-hadapsar-gadital
152_75,1,NORMAL_152_MNP To Dhanori / KamalPark Via Lohagaon_Up-1000_0,MNP To Dhanori / KamalPark Via Lohagaon,,1,,5242,,,152/4,5,5,152_75 - MNP To Dhanori / KamalPark Via Lohagaon,152-75-mnp-to-dhanori-kamalpark-via-lohagaon
20,1,NORMAL_20_Maharashtra Housing Board Samtanagar To Sahakarnagar_Down-0900_0,Maharashtra Housing Board Samtanagar To Sahakarnagar,,1,,4600,,,20-Jan,1,1,20 - Maharashtra Housing Board Samtanagar To Sahakarnagar,20-maharashtra-housing-board-samtanagar-to-sahakarnagar
29,1,NORMAL_29_Swargate To Alandi_Up-0745_0,Swargate To Alandi,,0,,3609,,,29-Jan,2,2,29 - Swargate To Alandi,29-swargate-to-alandi
119,1,NORMAL_119_Alandi To Ma Na Pa_Down-0835_0,Alandi To Ma Na Pa,,0,,3376,,,119/2,2,2,119 - Alandi To Ma Na Pa,119-alandi-to-ma-na-pa
118,1,NORMAL_118_Suncity To Swargate_Down-2150_0,Suncity To Swargate,,0,,3511,,,55/1,20,10,118 - Suncity To Swargate,118-suncity-to-swargate
367,1,NORMAL_367_Chikhale (Gharkul) To Bhosari_Down-0800_0,Chikhale (Gharkul) To Bhosari,,0,,4464,,,367/8,2,2,367 - Chikhale (Gharkul) To Bhosari,367-chikhale-gharkul-to-bhosari
315,1,NORMAL_315_Dighi To Deccan College_Down-0700_0,Dighi To Deccan College,,1,,4845,,,315/13,2,2,315 - Dighi To Deccan College,315-dighi-to-deccan-college
22A,1,NORMAL_22A_Swargate To Khandoba Mandir_Up-0545_0,Swargate To Khandoba Mandir,,0,,4431,,,22-Jan,1,1,22A - Swargate To Khandoba Mandir,22a-swargate-to-khandoba-mandir
22,1,NORMAL_22_Khandoba Mandir To Shivajinagar_Up-0615_0,Khandoba Mandir To Shivajinagar,,0,,2580,,,22-Jan,2,2,22 - Khandoba Mandir To Shivajinagar,22-khandoba-mandir-to-shivajinagar
22,1,NORMAL_22_Shivajinagar To Khandoba Mandir_Down-0705_0,Shivajinagar To Khandoba Mandir,,0,,2792,,,22-Jan,3,3,22 - Shivajinagar To Khandoba Mandir,22-shivajinagar-to-khandoba-mandir
22A,1,NORMAL_22A_Khandoba Mandir To Swargate_Down-1230_0,Khandoba Mandir To Swargate,,0,,4432,,,22-Jan,8,8,22A - Khandoba Mandir To Swargate,22a-khandoba-mandir-to-swargate
115P_90,1,NORMAL_115P_Pune Station to Hinjawadi Phase 3_Up-1945_0,Pune Station to Hinjawadi Phase 3,,0,,3275,,,115P/7,7,3,115P_90 - Pune Station to Hinjawadi Phase 3,115p-90-pune-station-to-hinjawadi-phase-3
115P_90,1,NORMAL_115P_Hinjawadi Phase 3 to Pune Station_Down-1425_0,Hinjawadi Phase 3 to Pune Station,,0,,3277,,,115P/10,4,4,115P_90 - Hinjawadi Phase 3 to Pune Station,115p-90-hinjawadi-phase-3-to-pune-station
333,1,NORMAL_333_Pune Station To  Hinjawadi Maan Phase 3_Up-1620_0,Pune Station To  Hinjawadi Maan Phase 3,,0,,4428,,,333/4,7,1,333 - Pune Station To  Hinjawadi Maan Phase 3,333-pune-station-to-hinjawadi-maan-phase-3
333,1,NORMAL_333_Hinjawadi Maan Phase 3 To Pune Station_Down-1515_0,Hinjawadi Maan Phase 3 To Pune Station,,0,,4429,,,333/1,8,2,333 - Hinjawadi Maan Phase 3 To Pune Station,333-hinjawadi-maan-phase-3-to-pune-station
43,1,NORMAL_43_Katraj To Hinjawadi Phase 3_Up-0620_0,Katraj To Hinjawadi Phase 3,,0,,4946,,,43/23,1,1,43 - Katraj To Hinjawadi Phase 3,43-katraj-to-hinjawadi-phase-3
43,1,NORMAL_43_Hinjawadi Phase 3 To Katraj_Down-0740_0,Hinjawadi Phase 3 To Katraj,,0,,4696,,,43/23,2,2,43 - Hinjawadi Phase 3 To Katraj,43-hinjawadi-phase-3-to-katraj
2,1,NORMAL_2_Shivajinagar To Katraj_Down-2035_0,Shivajinagar To Katraj,,0,,3443,,,02-Oct,14,6,2 - Shivajinagar To Katraj,2-shivajinagar-to-katraj
2,1,NORMAL_2_Katraj To Shivajinagar_Up-1010_0,Katraj To Shivajinagar,,0,,3442,,,02-Mar,3,3,2 - Katraj To Shivajinagar,2-katraj-to-shivajinagar
203,1,NORMAL_203_Hadapsar Gadital To Pune station_Up-0830_0,Hadapsar Gadital To Pune station,,1,,5232,,,203/8,1,1,203 - Hadapsar Gadital To Pune station,203-hadapsar-gadital-to-pune-station
203,1,NORMAL_203_Pune Station To Hadapsar Gadital_Down-0915_0,Pune Station To Hadapsar Gadital,,1,,5233,,,203/8,2,2,203 - Pune Station To Hadapsar Gadital,203-pune-station-to-hadapsar-gadital
165,1,NORMAL_165_Ma Na Pa To Wadgaonsheri_Up-0530_0,Ma Na Pa To Wadgaonsheri,,0,,3179,,,165/1,1,1,165 - Ma Na Pa To Wadgaonsheri,165-ma-na-pa-to-wadgaonsheri
119,1,NORMAL_119_Ma Na Pa To Alandi_Up-0530_0,Ma Na Pa To Alandi,,0,,3375,,,119/3,1,1,119 - Ma Na Pa To Alandi,119-ma-na-pa-to-alandi
94,1,NORMAL_94_Kothrud Depot To Pune Station_Up-1230_0,Kothrud Depot To Pune Station,,0,,3632,,,94/1,7,7,94 - Kothrud Depot To Pune Station,94-kothrud-depot-to-pune-station
94,1,NORMAL_94_Pune Station To Kothrud Depot_Down-1330_0,Pune Station To Kothrud Depot,,0,,3633,,,94/1,8,8,94 - Pune Station To Kothrud Depot,94-pune-station-to-kothrud-depot
233,1,NORMAL_233_ST Stand Paud To Marketyard_Down-2100_0,ST Stand Paud To Marketyard,,1,,4877,,,233/5,8,4,233 - ST Stand Paud To Marketyard,233-st-stand-paud-to-marketyard
233,1,NORMAL_233_Marketyard To ST Stand Paud_Up-0720_0,Marketyard To ST Stand Paud,,1,,4876,,,233/6,1,1,233 - Marketyard To ST Stand Paud,233-marketyard-to-st-stand-paud
163,1,NORMAL_163_Pune Station To Kharadi Gaon (Dhole Patil College)_Up-1010_0,Pune Station To Kharadi Gaon (Dhole Patil College),,1,,5001,,,163/4,5,5,163 - Pune Station To Kharadi Gaon (Dhole Patil College),163-pune-station-to-kharadi-gaon-dhole-patil-college
64,1,NORMAL_64_Nehru Stadium To NDA 10 No Gate Bus Stand Via Dattawadi_Up-0540_0,Nehru Stadium To NDA 10 No Gate Bus Stand Via Dattawadi,,1,,4884,,,64/15,1,1,64 - Nehru Stadium To NDA 10 No Gate Bus Stand Via Dattawadi,64-nehru-stadium-to-nda-10-no-gate-bus-stand-via-dattawadi
64,1,NORMAL_64_NDA 10 No Gate Bus Stand To Nehru Stadium Via Dattawadi_Down-0645_0,NDA 10 No Gate Bus Stand To Nehru Stadium Via Dattawadi,,1,,4885,,,64/15,2,2,64 - NDA 10 No Gate Bus Stand To Nehru Stadium Via Dattawadi,64-nda-10-no-gate-bus-stand-to-nehru-stadium-via-dattawadi
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0540_0,Kothrud Stand To Kondhwagate,,0,,4026,,,82/1,1,1,277A - Kothrud Stand To Kondhwagate,277a-kothrud-stand-to-kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0620_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/1,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,82-nda-10-no-gate-bus-stand-to-manapa-to-kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2200_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/1,8,3,277A - Kondhwagate To Kothrud Stand,277a-kondhwagate-to-kothrud-stand
174,1,NORMAL_174_Pune Station To NDA 10 No Gate Bus Stand_Up-0945_0,Pune Station To NDA 10 No Gate Bus Stand,,1,,4891,,,174/7,3,3,174 - Pune Station To NDA 10 No Gate Bus Stand,174-pune-station-to-nda-10-no-gate-bus-stand
174,1,NORMAL_174_NDA 10 No Gate Bus Stand To Pune Station_Down-1110_0,NDA 10 No Gate Bus Stand To Pune Station,,1,,4893,,,174/7,4,4,174 - NDA 10 No Gate Bus Stand To Pune Station,174-nda-10-no-gate-bus-stand-to-pune-station
149,1,NORMAL_149_Bhakti Shakti To Shewalwadi_Down-1345_0,Bhakti Shakti To Shewalwadi,,0,,4856,,,149/21,4,4,149 - Bhakti Shakti To Shewalwadi,149-bhakti-shakti-to-shewalwadi
VJR3,1,NORMAL_VJR3_Hadapsar Gadital To Kothrud Depot_Down-0530_0,Hadapsar Gadital To Kothrud Depot,,0,,3430,,,VJR3/1,1,1,VJR3 - Hadapsar Gadital To Kothrud Depot,vjr3-hadapsar-gadital-to-kothrud-depot
VJR3,1,NORMAL_VJR3_Kothrud Depot To Hadapsar Gadital_Up-0650_0,Kothrud Depot To Hadapsar Gadital,,0,,4353,,,VJR3/1,2,2,VJR3 - Kothrud Depot To Hadapsar Gadital,vjr3-kothrud-depot-to-hadapsar-gadital
358,1,NORMAL_358_Bhosari To Rajgurunagar_Up-1630_0,Bhosari To Rajgurunagar,,0,,3817,,,358/12,7,1,358 - Bhosari To Rajgurunagar,358-bhosari-to-rajgurunagar
358,1,NORMAL_358_Rajgurunagar To Bhosari_Down-1750_0,Rajgurunagar To Bhosari,,0,,3818,,,358/12,8,2,358 - Rajgurunagar To Bhosari,358-rajgurunagar-to-bhosari
84,1,NORMAL_84_Ganpati Matha To Deccan Gymkhana_Down-1125_0,Ganpati Matha To Deccan Gymkhana,,1,,5091,,,84/5,5,5,84 - Ganpati Matha To Deccan Gymkhana,84-ganpati-matha-to-deccan-gymkhana
84,1,NORMAL_84_Deccan Gymkhana To Ganpati Matha_Up-1625_0,Deccan Gymkhana To Ganpati Matha,,1,,5090,,,84/5,6,1,84 - Deccan Gymkhana To Ganpati Matha,84-deccan-gymkhana-to-ganpati-matha
362A,1,NORMAL_362A_Alandi To YCM Hospital (Via Moshi)_Down-0700_0,Alandi To YCM Hospital (Via Moshi),,0,,4006,,,362/1,2,2,362A - Alandi To YCM Hospital (Via Moshi),362a-alandi-to-ycm-hospital-via-moshi
362A,1,NORMAL_362A_YCM Hospital To Alandi (Via Moshi)_Up-0745_0,YCM Hospital To Alandi (Via Moshi),,0,,4004,,,362/1,3,3,362A - YCM Hospital To Alandi (Via Moshi),362a-ycm-hospital-to-alandi-via-moshi
126C,1,NORMAL_126C_Pimplenilakh To Khadki Bazar_Up-1320_0,Pimplenilakh To Khadki Bazar,,1,,5175,,,126/1,9,9,126C - Pimplenilakh To Khadki Bazar,126c-pimplenilakh-to-khadki-bazar
313,1,NORMAL_313_Pimpri Depot To Chinchwadgaon_Up-0510_0,Pimpri Depot To Chinchwadgaon,,1,,4328,,,313/1,1,1,313 - Pimpri Depot To Chinchwadgaon,313-pimpri-depot-to-chinchwadgaon
313,1,NORMAL_313_Chinchwadgaon To Chandkhed_Up-0530_0,Chinchwadgaon To Chandkhed,,0,,4364,,,313/1,2,2,313 - Chinchwadgaon To Chandkhed,313-chinchwadgaon-to-chandkhed
313,1,NORMAL_313_Chandkhed To Chinchwadgaon_Down-0620_0,Chandkhed To Chinchwadgaon,,0,,4065,,,313/1,3,3,313 - Chandkhed To Chinchwadgaon,313-chandkhed-to-chinchwadgaon
368_54,1,NORMAL_368_Nigdi To Kamshet_Up-0510_0,Nigdi To Kamshet,,1,,4934,,,368/1,1,1,368_54 - Nigdi To Kamshet,368-54-nigdi-to-kamshet
122,1,NORMAL_122_Chinchwadgaon To Ma Na Pa_Down-1425_0,Chinchwadgaon To Ma Na Pa,,0,,4818,,,122/3,10,1,122 - Chinchwadgaon To Ma Na Pa,122-chinchwadgaon-to-ma-na-pa
122,1,NORMAL_122_Ma Na Pa To Chinchwadgaon_Up-1530_0,Ma Na Pa To Chinchwadgaon,,0,,4817,,,122/3,11,2,122 - Ma Na Pa To Chinchwadgaon,122-ma-na-pa-to-chinchwadgaon
57,1,NORMAL_57_Vadgaon Bk To Pune Station_Down-2050_0,Vadgaon Bk To Pune Station,,0,,4339,,,57/1,14,6,57 - Vadgaon Bk To Pune Station,57-vadgaon-bk-to-pune-station
192,1,NORMAL_192_Vadachiwadi To Hadapsar Gadital_Down-1715_0,Vadachiwadi To Hadapsar Gadital,,1,,4681,,,192/2,16,4,192 - Vadachiwadi To Hadapsar Gadital,192-vadachiwadi-to-hadapsar-gadital
88,1,NORMAL_88_Hinjawadi Maan Phase 3 To Swargate_Down-0805_0,Hinjawadi Maan Phase 3 To Swargate,,1,,4987,,,88/2,2,2,88 - Hinjawadi Maan Phase 3 To Swargate,88-hinjawadi-maan-phase-3-to-swargate
88,1,NORMAL_88_Swargate To Hinjawadi Maan Phase 3_Up-1015_0,Swargate To Hinjawadi Maan Phase 3,,1,,4986,,,88/2,3,3,88 - Swargate To Hinjawadi Maan Phase 3,88-swargate-to-hinjawadi-maan-phase-3
304,1,NORMAL_304_Gavhanevasti Bhosari To Chinchwadgaon_Down-2120_0,Gavhanevasti Bhosari To Chinchwadgaon,,0,,4055,,,304/1,23,11,304 - Gavhanevasti Bhosari To Chinchwadgaon,304-gavhanevasti-bhosari-to-chinchwadgaon
338,1,NORMAL_338_Sawtamali Mandir Chikhli To Ma Na Pa Main Bus Stand_Down-2115_0,Sawtamali Mandir Chikhli To Ma Na Pa Main Bus Stand,,1,,4928,,,338/1,12,6,338 - Sawtamali Mandir Chikhli To Ma Na Pa Main Bus Stand,338-sawtamali-mandir-chikhli-to-ma-na-pa-main-bus-stand
76,1,NORMAL_76_Swargate To Kumbare Park_Down-1900_0,Swargate To Kumbare Park,,1,,5121,,,76/1,8,4,76 - Swargate To Kumbare Park,76-swargate-to-kumbare-park
362,1,NORMAL_362_YCM Hospital To Alandi_Down-0620_0,YCM Hospital To Alandi,,0,,4003,,,362/1,1,1,362 - YCM Hospital To Alandi,362-ycm-hospital-to-alandi
362,1,NORMAL_362_Alandi To YCM Hospital_Up-0840_0,Alandi To YCM Hospital,,0,,4002,,,362/1,4,4,362 - Alandi To YCM Hospital,362-alandi-to-ycm-hospital
301,1,NORMAL_301_Shewalwadi To Katraj_Down-0525_0,Shewalwadi To Katraj,,0,,4349,,,301/1,1,1,301 - Shewalwadi To Katraj,301-shewalwadi-to-katraj
301,1,NORMAL_301_Katraj To Shewalwadi_Up-0630_0,Katraj To Shewalwadi,,0,,4348,,,301/1,2,2,301 - Katraj To Shewalwadi,301-katraj-to-shewalwadi
322,1,NORMAL_322_Akurdi Railway Station To Ma Na Pa River Side_Down-0905_0,Akurdi Railway Station To Ma Na Pa River Side,,1,,5134,,,322/5,3,3,322 - Akurdi Railway Station To Ma Na Pa River Side,322-akurdi-railway-station-to-ma-na-pa-river-side
322,1,NORMAL_322_Ma Na Pa River Side To Akurdi Railway Station_Up-1030_0,Ma Na Pa River Side To Akurdi Railway Station,,1,,5133,,,322/5,4,4,322 - Ma Na Pa River Side To Akurdi Railway Station,322-ma-na-pa-river-side-to-akurdi-railway-station
70,1,NORMAL_70_Deccan Gymkhana To Sheregaon_Up-0835_0,Deccan Gymkhana To Sheregaon,,0,,3601,,,70/1,3,3,70 - Deccan Gymkhana To Sheregaon,70-deccan-gymkhana-to-sheregaon
70,1,NORMAL_70_Sheregaon To Deccan Gymkhana_Down-1010_0,Sheregaon To Deccan Gymkhana,,0,,3602,,,70/1,4,4,70 - Sheregaon To Deccan Gymkhana,70-sheregaon-to-deccan-gymkhana
70C,1,NORMAL_70C_Sheregaon To Kothrud Depot_Down-2010_0,Sheregaon To Kothrud Depot,,1,,3611,,,70/1,10,4,70C - Sheregaon To Kothrud Depot,70c-sheregaon-to-kothrud-depot
109,1,NORMAL_109_Ma Na Pa To Ma Na Pa_Round-0745_0,Ma Na Pa To Ma Na Pa,,0,,3488,,,109/4,1,1,109 - Ma Na Pa To Ma Na Pa,109-ma-na-pa-to-ma-na-pa
155,1,NORMAL_155_Lohgaon To Pune Station (Via Dhanori)_Down-0635_0,Lohgaon To Pune Station (Via Dhanori),,0,,3881,,,174/11,2,2,155 - Lohgaon To Pune Station (Via Dhanori),155-lohgaon-to-pune-station-via-dhanori
143,1,NORMAL_143_Galinde Path To Pune Station (Vai Mhatre Pul)_Up-2145_0,Galinde Path To Pune Station (Vai Mhatre Pul),,0,,2670,,,143/2,13,5,143 - Galinde Path To Pune Station (Vai Mhatre Pul),143-galinde-path-to-pune-station-vai-mhatre-pul
