route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number,route_short_name,slug
401_30,3,NORMAL_401_Ambedkar Society To Viddy Niketan 6_Up-0650_0,Ambedkar Society To Viddy Niketan 6,,1,,4376,,,401/9,2,2,401_30 - Ambedkar Society To Viddy Niketan 6,401-30-ambedkar-society-to-viddy-niketan-6
401_30,3,NORMAL_401_Viddya Niketan 6 To Ambedkar Society_Down-1130_0,Viddya Niketan 6 To Ambedkar Society,,1,,4377,,,401/9,5,5,401_30 - Viddya Niketan 6 To Ambedkar Society,401-30-viddya-niketan-6-to-ambedkar-society
312,1,NORMAL_312_Pune Station To Chinchwadgaon_Up-0450_0,Pune Station To Chinchwadgaon,,0,,4758,,,312/1,1,1,312 - Pune Station To Chinchwadgaon,312-pune-station-to-chinchwadgaon
350,1,NORMAL_350_Nigdi To Dehugaon Via Talwade_Up-0530_0,Nigdi To Dehugaon Via Talwade,,1,,5171,,,350/1,1,1,350 - Nigdi To Dehugaon Via Talwade,350-nigdi-to-dehugaon-via-talwade
350,1,NORMAL_350_Dehugaon To Nigdi Via Talwade_Down-0610_0,Dehugaon To Nigdi Via Talwade,,1,,5172,,,350/1,2,2,350 - Dehugaon To Nigdi Via Talwade,350-dehugaon-to-nigdi-via-talwade
378_85,1,NORMAL_378_Pimpri Depot To Vasantdada Putla Sangvi_Up-0515_0,Pimpri Depot To Vasantdada Putla Sangvi,,1,,4250,,,378/1,1,1,378_85 - Pimpri Depot To Vasantdada Putla Sangvi,378-85-pimpri-depot-to-vasantdada-putla-sangvi
378_85,1,NORMAL_378_Vasantdada Putla Sangvi via Katepuram Phugewadi to Bhosari Terminal_Up-0615_0,Vasantdada Putla Sangvi via Katepuram Phugewadi to Bhosari Terminal,,1,,4246,,,378/1,2,2,378_85 - Vasantdada Putla Sangvi via Katepuram Phugewadi to Bhosari Terminal,378-85-vasantdada-putla-sangvi-via-katepuram-phugewadi-to-bhosari-terminal
378_85,1,NORMAL_378_Bhosari Terminal to Vasantdada Putla Sangvi via Katepuram Phugewadi_Down-0725_0,Bhosari Terminal to Vasantdada Putla Sangvi via Katepuram Phugewadi,,1,,4453,,,378/1,3,3,378_85 - Bhosari Terminal to Vasantdada Putla Sangvi via Katepuram Phugewadi,378-85-bhosari-terminal-to-vasantdada-putla-sangvi-via-katepuram-phugewadi
302C,1,NORMAL_302C_Gavhanevasti Bhosari To Nehrunagar Depo_Down-2015_0,Gavhanevasti Bhosari To Nehrunagar Depo,,0,,3681,,,378/1,13,6,302C - Gavhanevasti Bhosari To Nehrunagar Depo,302c-gavhanevasti-bhosari-to-nehrunagar-depo
302C,1,NORMAL_302C_Nehrunagar Depo To Gavhanevasti Bhosari_Up-0600_0,Nehrunagar Depo To Gavhanevasti Bhosari,,0,,3680,,,378/3,1,1,302C - Nehrunagar Depo To Gavhanevasti Bhosari,302c-nehrunagar-depo-to-gavhanevasti-bhosari
