route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number,route_short_name
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1230_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/7,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1500_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/7,5,5,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1740_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/7,6,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2050_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/7,7,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2300_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/7,8,3,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0650_0,Kothrud Stand To Kondhwagate,,0,,4026,,,82/8,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0730_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/8,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0950_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/8,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
5,1,NORMAL_5_Swargate To Pune Station_Up-1010_0,Swargate To Pune Station,,0,,3388,,,05-Feb,8,8,5 - Swargate To Pune Station
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1240_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/8,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1510_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/8,5,5,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1750_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/8,6,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2100_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/8,7,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2310_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/8,8,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2350_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/8,9,4,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0600_1,Kothrud Stand To Kondhwagate,,0,,4026,,,82/9,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0740_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/9,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1000_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/9,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1250_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/9,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1520_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/9,5,5,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1800_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/9,6,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2110_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/9,7,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2320_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/9,8,3,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0610_1,Kothrud Stand To Kondhwagate,,0,,4026,,,82/10,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0750_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/10,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1010_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/10,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1300_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/10,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1530_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/10,5,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1810_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/10,6,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2120_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/10,7,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2330_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/10,8,4,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0620_1,Kothrud Stand To Kondhwagate,,0,,4026,,,82/11,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0800_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/11,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1020_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/11,3,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1310_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/11,4,4,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1540_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/11,5,1,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1820_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/11,6,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-2130_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/11,7,3,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
277A,1,NORMAL_277A_Kondhwagate To Kothrud Stand_Up-2340_0,Kondhwagate To Kothrud Stand,,0,,4025,,,82/11,8,4,277A - Kondhwagate To Kothrud Stand
277A,1,NORMAL_277A_Kothrud Stand To Kondhwagate_Down-0630_1,Kothrud Stand To Kondhwagate,,0,,4026,,,82/12,1,1,277A - Kothrud Stand To Kondhwagate
82,1,NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-0810_0,NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate,,1,,4908,,,82/12,2,2,82 - NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate
